Giá,Diện tích,Đường,Phường,Quận,Thành phố,Loại BDS,Chiều ngang,Chiều dài,Hướng,Đường trước nhà,Số lầu,Số phòng ngủ,Phòng ăn,Nhà bếp,Sân thượng,Chỗ để xe hơi,Chính chủ
5.6,50.0,Đường Nguyễn Công Trứ,Phường An Hải Nam,Quận Sơn Trà,Đà Nẵng,Nhà trong hẻm,6.0,18.0,_,6.0,3,3,0,0,0,0,0
6.7,83.0,Đường Lưu Quang Thuận,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà trong hẻm,6.0,18.0,_,5.0,1,3,1,1,1,1,0
8.3,331.0,Đường Đào Sư Tích,Phường Hòa Minh,Quận Liên Chiểu,Đà Nẵng,Nhà mặt tiền,10.0,30.0,Tây Nam,7.5,---,---,0,0,0,0,0
8.6,124.0,Đường Nguyễn Hiền,Phường Nại Hiên Đông,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,6.0,20.0,Tây Bắc,6.0,3,5,0,0,0,0,0
13.0,81.0,Đường Thạch Lam,Phường Phước Mỹ,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,5.5,5,7,0,0,0,0,0
21.0,97.0,Đường Nguyễn Xuân Khoát,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,5.5,6,11,0,0,0,0,0
,90.0,Đường Phước Trường,Phường Phước Mỹ,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,5.5,7,11,1,1,1,1,0
7.3,80.0,Đường Tân An 4,Phường Hòa Cường Bắc,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,5.0,18.0,Nam,7.5,3,3,1,1,1,1,0
3.75,97.0,Đường Lê Tấn Trung.,Phường Thọ Quang,Quận Sơn Trà,Đà Nẵng,Nhà trong hẻm,4.0,24.0,_,5.0,1,3,1,1,0,1,0
10.2,98.0,Đường Mỹ Khê,Phường Phước Mỹ,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,5.0,19.0,Đông,5.5,3,3,1,1,1,1,0
